index,movie_title,release_date,genre,inflation_adjusted_gross,divided
449,Apocalypto,2006,Adventure,64959548,64959,548
450,Primeval,2007,Adventure,12985302,12985,302
451,Bridge to Terabithia,2007,Drama,100760721,100760,721
452,Wild Hogs,2007,Comedy,206110533,206110,533
453,Meet the Robinsons,2007,Adventure,119860589,119860,589
454,The Lookout,2007,Drama,5637048,5637,048
455,The Hoax,2007,Drama,8779196,8779,196
456,The Invisible,2007,Thriller/Suspense,25202168,25202,168
457,Pirates of the Caribbean: At World’s End,2007,Adventure,379129960,379129,96
458,Ratatouille,2007,Comedy,252955933,252955,933
459,Underdog,2007,Adventure,53619462,53619,462
460,The Game Plan,2007,Comedy,111010758,111010,758
461,Dan in Real Life,2007,Romantic Comedy,58350234,58350,234
462,Enchanted,2007,Romantic Comedy,156074310,156074,31
463,National Treasure 2: Book of Secrets,2007,Adventure,267003525,267003,525
464,Hannah Montana/Miley Cyrus: Best of Both Worlds Concert,2008,Concert/Performance,76646993,76646,993
465,Step Up 2 the Streets,2008,Drama,68118371,68118,371
466,College Road Trip,2008,Comedy,53550960,53550,96
467,The Chronicles of Narnia: Prince Caspian,2008,Adventure,166277038,166277,038
468,WALL-E,2008,Adventure,262771918,262771,918
469,Swing Vote,2008,Comedy,19125841,19125,841
470,Goal! 2: Living the Dream,2008,Drama,264247,264,247
471,Miracle at St Anna,2008,Drama,9295171,9295,171
472,Beverly Hills Chihuahua,2008,Comedy,110932022,110932,022
473,Morning Light,2008,Documentary,322979,322,979
474,High School Musical 3: Senior Year,2008,Musical,106308538,106308,538
475,Bolt,2008,Comedy,133702498,133702,498
476,Bedtime Stories,2008,Comedy,128039679,128039,679
477,Confessions of a Shopaholic,2009,Romantic Comedy,49767744,49767,744
478,Jonas Brothers: The 3D Concert Experience,2009,Concert/Performance,38174685,38174,685
479,Race to Witch Mountain,2009,Adventure,75501997,75501,997
480,Hannah Montana the Movie,2009,Drama,89443640,89443,64
481,Earth,2009,Documentary,35981010,35981,01
482,Up,2009,Adventure,329336681,329336,681
483,The Proposal,2009,Romantic Comedy,184288829,184288,829
484,G-Force,2009,Adventure,134246932,134246,932
485,Gake no ue no Ponyo,2009,Adventure,16961607,16961,607
486,X Games 3D: The Movie,2009,Documentary,1563976,1563,976
487,Walt and El Grupo,2009,Documentary,23064,23,064
488,Surrogates,2009,Action,43361416,43361,416
489,Toy Story 3D Double Feature,2009,Adventure,34509545,34509,545
490,Disneys A Christmas Carol,2009,Drama,154927105,154927,105
491,The Princess and the Frog,2009,Adventure,116316457,116316,457
492,Old Dogs,2009,Comedy,55503929,55503,929
493,When in Rome,2010,Romantic Comedy,34917330,34917,33
494,Alice in Wonderland,2010,Adventure,357063499,357063,499
